UE0,,UE1,,UE2,,UE3,,UE4,,UE5,,All UEs,,
TX power,Throughput,TX power,Throughput,TX power,Throughput,TX power,Throughput,TX power,Throughput,TX power,Throughput,Final for perm,episode success,Time to success
"[-60, -60, 10, 10, 10, 10]",58.22803957153408,"[-60, 10, 10, -60, 10, 10]",61.73318175661589,"[-60, 10, -60, -60, 10, 10]",51.392870068026134,"[10, 10, 10, 10, 10, 10]",82.21409690460379,"[10, 10, -60, -60, 10, -60]",50.26327360610962,"[10, 10, 10, -60, -60, 10]",91.56658826291988,SUCCESS,1,1.521151065826416
"[10, 10, -60, -60, 10, -60]",54.27990082351613,"[10, 10, -60, 10, 10, 10]",73.14521388656983,"[-60, -60, 10, 10, 10, 10]",63.543025996819225,"[10, 10, 10, 10, 10, 10]",66.06967014794054,"[10, 10, 10, -60, 10, -60]",49.8727096150005,"[-60, 10, 10, 10, 10, 10]",54.608415866525036,SUCCESS,3,4.301547050476074
"[10, -60, 10, 10, 10, 10]",55.871344864649615,"[10, 10, -60, 10, -60, 10]",78.79945319821539,"[10, 10, 10, -60, 10, 10]",53.222439728461815,"[10, 10, -60, 10, 10, 10]",69.19686870523647,"[10, -60, 10, 10, 10, -60]",49.77522890823566,"[10, 10, -60, -60, 10, -60]",62.759210095893586,SUCCESS,6,8.813781976699829
"[-60, 10, 10, 10, 10, 10]",56.792948273867026,"[10, -60, 10, -60, -60, 10]",62.062533487451326,"[-60, 10, 10, 10, 10, -60]",84.4647132762083,"[10, -60, -60, -60, 10, -60]",49.66777158319567,"[10, 10, -60, 10, -60, 10]",52.52710077069397,"[-60, 10, 10, -60, 10, 10]",71.75395323758377,SUCCESS,13,20.375570058822632
"[-60, 10, 10, -60, 10, 10]",56.862049684493556,"[-60, -60, -60, -60, -60, 10]",61.09652401771833,"[10, -60, -60, 10, 10, 10]",80.92786235463215,"[10, -60, -60, -60, 10, 10]",49.14689323203176,"[10, -60, -60, 10, 10, 10]",52.38747061924544,"[-60, 10, -60, -60, -60, 10]",70.13381830550357,SUCCESS,13,20.375570058822632
"[10, 10, -60, -60, 10, 10]",49.71964646262003,"[-60, -60, 10, 10, 10, 10]",71.45500427046254,"[10, 10, 10, -60, 10, 10]",62.23316066652638,"[-60, -60, 10, 10, 10, 10]",83.67627605474354,"[-60, -60, 10, 10, 10, 10]",52.634200406646876,"[-60, 10, -60, -60, -60, 10]",56.650251111613464,SUCCESS,25,45.312232971191406
"[10, 10, -60, -60, -60, 10]",49.99715452885581,"[10, 10, -60, 10, -60, 10]",69.48545033050819,"[10, -60, 10, -60, 10, -60]",63.24554733349466,"[10, -60, 10, 10, 10, 10]",79.0900904844149,"[10, -60, -60, 10, 10, 10]",53.32735478237033,"[10, 10, -60, -60, 10, -60]",55.77727763856097,SUCCESS,25,45.312232971191406
"[10, 10, 10, -60, 10, 10]",60.324576959176916,"[10, 10, 10, 10, -60, 10]",71.78294867764906,"[-60, 10, 10, 10, 10, 10]",48.92385502217716,"[10, 10, -60, 10, 10, 10]",57.74742063314826,"[-60, 10, 10, 10, 10, 10]",51.78726304500927,"[-60, 10, -60, 10, 10, -60]",84.07034043261426,SUCCESS,29,54.50692701339722
"[-60, 10, 10, 10, 10, -60]",61.855678939695,"[10, 10, 10, -60, -60, 10]",49.935773424057444,"[10, -60, 10, 10, 10, 10]",57.72435712576883,"[10, -60, -60, 10, -60, -60]",51.85996063102003,"[10, 10, -60, -60, 10, 10]",98.03113656164169,"[-60, 10, 10, -60, 10, 10]",76.81105482569563,SUCCESS,37,74.9181079864502
"[10, 10, 10, 10, 10, 10]",68.75649350216226,"[10, 10, 10, 10, 10, 10]",63.73843002267263,"[10, 10, -60, 10, 10, 10]",50.140868646699516,"[10, -60, 10, -60, 10, 10]",53.636981421535545,"[10, 10, 10, -60, 10, 10]",55.41981683744142,"[10, 10, 10, 10, -60, -60]",77.53158259917234,SUCCESS,41,86.92332911491394
"[-60, -60, 10, -60, 10, -60]",76.2691788571069,"[10, 10, -60, 10, -60, 10]",91.32381521287223,"[10, -60, 10, 10, 10, 10]",62.64626176119896,"[-60, 10, -60, -60, 10, 10]",57.26386719083912,"[10, -60, 10, 10, 10, 10]",52.142814407009155,"[10, 10, 10, -60, 10, -60]",50.291196615274735,SUCCESS,43,92.58259701728821
"[10, 10, 10, -60, 10, 10]",58.25320817236634,"[-60, -60, 10, 10, 10, -60]",51.51627687882178,"[-60, -60, -60, -60, 10, 10]",89.61241287718877,"[10, 10, -60, -60, 10, -60]",60.302181157413486,"[-60, 10, -60, 10, 10, 10]",74.00937678525585,"[-60, 10, -60, 10, -60, 10]",49.049813254147345,SUCCESS,44,95.6873049736023
"[10, -60, 10, -60, 10, -60]",62.68255209181772,"[-60, -60, -60, -60, -60, 10]",52.01220159684383,"[10, 10, 10, 10, 10, -60]",57.38214580648027,"[-60, 10, 10, 10, 10, 10]",90.61503397725119,"[-60, 10, -60, 10, 10, -60]",77.55262177289387,"[10, 10, -60, 10, -60, -60]",50.42837990550982,SUCCESS,48,108.16465425491333
"[10, 10, 10, 10, 10, -60]",58.730253587607,"[10, -60, 10, 10, 10, 10]",50.07984729754418,"[-60, -60, -60, -60, 10, -60]",60.892394615443614,"[10, 10, 10, -60, 10, -60]",86.44687166160809,"[10, 10, -60, 10, 10, -60]",84.06983466576015,"[10, 10, -60, 10, 10, -60]",48.85827806515721,SUCCESS,48,108.16465425491333
